,brand,city,title,desc,image_count,created_at,price
327,Apple::اپل,Mashhad,فروش باورنکردنی ایفون بخون,"سلام و خسته نباشید ٣عدد ایفون در مدل های 
Iphone 5s silver 64g
Iphone 5s gold 64g
Iphone SE gold 64g
ایفون 5sها مشابه اک بند ببینی متوجه میشی 
ایفون SEفقط3روز کار معاوضه اصلا نمیشه عکس=تلگرام فقط تماس بگیرید باتشکر از دیوار",0,Monday 10AM,1407548
331,Samsung::سامسونگ,Isfahan,گوشی موبایل J$NUM,با دو اکانت کلش اف کلنز(85&55) و اکانت کلش رویال(9) .درحد نو.,2,Tuesday 05PM,661214
332,HTC::اچ‌تی‌سی,Ahvaz,فروش یا معاوضه HTC,"فروش یا معاوضه گوشی HTC دیزایر 616 دوسیمکارت درحدآک
صفحه ۵ اینچی٬ آندروید ۴/۲/۲ ٬سی پی یو ۱/۴۰۰ چهارهسته ای٬ دوربین پشت ۸ HD و جلو ۲ ٬فلش LED ٬حافظه داخلی ۴ ٬همراه با کارتن و کلیه وسایل + جلد ضد ضربه
قیمت فروش  ۳۷۰
معاوضه با اپل 4s - سامسونگ یا هوآوی درحدآک هم قیمت گوشیم",4,Tuesday 08PM,58592
362,Apple::اپل,Tehran,ایفون۶s,بدون خطو خش گلس پشت ورو رزگلد ۶۴ گیگ,2,Tuesday 01PM,1889377
366,Huawei::هوآوی,Ahvaz,Honor 4c,گوشی در حد اک ٧ماه کارکرد,1,Tuesday 11PM,457574
373,Nokia::نوکیا,Tehran,nokia lumia 625,گوشی تمیزه با کارتن و شارژر سیستم عامل گوشی هم ویندوز فون . معاوضه فقط با سونی اکسپریا,1,Thursday 05PM,43928
374,Nokia::نوکیا,Tehran,گوشی n۹۷ای نوکیا,گوشی سالمه فقط یه باتری میخواد با قاب پشتش قیمتتونو اس ام اس کنید,3,Thursday 09PM,163440
407,Apple::اپل,Qom,اپل6s plus  گیگ ۱۲۸ در حد اک,"در حد اک بی خطو خش
با قاب و‌برچسب‌پشت رو
بیمه‌تا بزج ۱۱ 
سیلور",0,Sunday 08PM,1661986
414,Apple::اپل,Tehran,گوشی اپل 6-64gig,گوشی اپل 6-64gig llaبه رنگ گری-فوق العاده سالم و تمیز-در حد آکبند-بدون حتی ١نقطه و یا خط و خش(گوشی از اول دست خودم بوده)به فروش میرسد.معاوضه ندارم،اس ام اس پاسخگو نیستم.,5,Wednesday 01PM,1521690
417,Nokia::نوکیا,Tehran,Lumia 1520,"گوشی lumia 1520 
کاملا سالم و کم کارکرد با جعبه و تمامی تجهیزات جانبی فابریک 
سیستم عامل ویندوز مناسب برای تمامی سلیقه ها
با دوربین فوق العاده استثنایی",1,Wednesday 10PM,713665
419,Samsung::سامسونگ,Isfahan,ساسونگ s7,سلام گوشی به رنگ گلد  ایج یکبار بیشتر شارژ نشده یه گلس روشه به ارزش 130 هزار تومن یه دونم پشتش 60 هزار تومن یه مموری هم روشه 128 گیگ$NUMهزار تومن اگه دنبال گوشی اک میگردی که$NUMضررشا داده باشه این بهترین مورده اگه دنبال 20 درصد و30 درصدی تماس نگیر گوشی اک اک,0,Friday 01PM,1332992
420,HTC::اچ‌تی‌سی,Tehran,گوشی موبایل htc ویندوز هشت,بدون هیچ خط و خش در حد نو,1,Friday 04PM,415775
433,Huawei::هوآوی,Ahvaz,گوشی هانر ۶اک اک تمیز معاوضه,گوشی اکـ اک با اپل5sعوض میکنم ۳۲گیگ و تمیز باشه خواهش سر هم میدم مرسی,0,Saturday 11PM,630251
455,Nokia::نوکیا,Tehran,گوشی 8800 گلد در حد نو,برای قیمت تماس بگیرید,2,Saturday 10AM,1567708
459,Apple::اپل,Tehran,iphone 6s & SE,"آیفون ٦اس ١٦ گیگ سیلور آکبند
$NUM
آیفون SE ١٦گیگ رزگلد
$NUM",2,Monday 11AM,2236704
461,Nokia::نوکیا,Kermanshah,نوکیا 305,کاملا سالم به شرط .خیلی تمیز,2,Monday 07PM,62455
491,ZTE::زدتی‌ای,Qom,گوشی موبایل جی ال ایکس,این گوشی هیچ خوردگی ندارد دوسیم کارته وتمیز ب جز جای شارژش ک ی کم مشکل داره اما جعبه و اینا  همه هس قیمت80هزار تومن  با رم68 هم تعویض میشود,2,Monday 09PM,218687
497,Huawei::هوآوی,Ahvaz,huawei p6,"نتونستم ازش عکس بگیرم
قیمت توافقی ...
چندتا خط و خش کوچیک که اصلا دیده نمیشه داره پشتش",0,Wednesday 05AM,557551
501,Apple::اپل,Ahvaz,گوشی موبایل اپل ٦گیگ ١٦,فروش ایفون ٦خالی ١٦گیگ تمیز بدون خط وخش بدون تعمیر دوعددگلاس روش گذاشتم باتمام وسایل قیمت 1450بامشتری کنارمیام فقط تماس جواب میدم,3,Friday 01PM,828690
530,Huawei::هوآوی,Karaj,معاوضه با آیفون 5s،5ترجیحا 16gig,گوشی هانر 4xدرحد اک دارم با آیفون 5s یا 5معاوضه دارم پیشنهاداتون تلگرام بفرستید,1,Friday 06PM,640507
531,Nokia::نوکیا,Tehran,گوشی نوکیا 500,یک دستگاه گوشی نوکیا ۵۰۰ خر کار همراه با شارژر هدفون جعبه  وسه عدد قاب اضافه با قاب ژله ای اخره انتن دهیه و نگه داری شارژ,1,Saturday 12AM,213077
533,Apple::اپل,Tehran,گوشی اپل 5S-32,بسیار تمیز-LLA-Silver,3,Saturday 06PM,1114773
534,LG::ال‌جی,Qom,ال جی G3,سلام ۳۲گیگ رام۳ دوربین۱۳جلو۵مگا.فورجی سفیددرحدآک قیمت پیشنهادیتونواس کنید.تشکر.قیمت آکش۹۸۰تومان میباشد,0,Saturday 08PM,573349
591,Samsung::سامسونگ,Tehran,گوشی موبایل سامسونگ s5 mini,"چند تا جای ضربه خوردگی اندروید 5 کاملا مشابه s5 فقط دوربین 8mp و صفحه کوچک تر
دو سیمکارت
صفحه کاملا ضدخش
ضدآب 
حسگراثرانگشت
سفید
بدون هندزفری",0,Wednesday 09PM,452739
594,Apple::اپل,Tehran,آیفون ۶ گلد ۶۴ گیگ,"تمییز در حد بنز.
اس ام اس پاسخگو نیستم.
$NUM",0,Friday 09AM,1352472
607,Samsung::سامسونگ,Tehran,گوش سامسونگ,"٢عدد گوشی یکجا به قيمت ٧٠ هزار تومان به  فروش میرسد.
خریدار واقعی تماس تلفنی
جعفري$NUM

با تشكر از برنامه خوب ديوار",2,Tuesday 12PM,569804
610,Samsung::سامسونگ,Ahvaz,کوشیS3,بدون هیچ ضربه یاخش ازدبی اوردنش برام اصلی وبازنشده نونو سامسونک S3,0,Thursday 06PM,545986
611,HTC::اچ‌تی‌سی,Shiraz,فروش گوشی اچ تی سی دیزایر310,فروش گوشی  اچ تی سی  310دیزایر,2,Thursday 07PM,409076
633,Sony::سونی,Tehran,سونی اکسپریا,گوشی کاملا سالم به شرط استفاده ۱هفته هیچ عیب و ایرادی نداره یه رم ۸گیگ کلاس۱۰هم روش میدم دلیل فروشم اینه که یه گوشی تازه خریدمو استفاده ای ازش ندارم,4,Saturday 11AM,388222
650,Samsung::سامسونگ,Tehran,Note 4 H. Gold. 32G,"نوت 4 H رنگ گلد 32 گیگ
بدون خط و خش و تر تمیز
با قاب ژله ای و آداپتور اصلی
اندروید 6
همراه جعبه
عجله دارم برای فروش میخام S7 ادج بخرم.
قیمت$NUMتومان تخفیفم یکم میدم به مشتری.
یه رم 32 گیگ میکرو هم باهاش میدم بدون هیچ استفاده ای از رم.",0,Saturday 10PM,1534468
651,Apple::اپل,Tehran,گوشی  5s,"بسیار تمیز و دیدنی
5s
32g 
رنگ سفید",0,Sunday 09AM,554946
668,Apple::اپل,Qom,اپل 6سیلور 16 گیگ معاوضه,"گوشی تمیز بدون خط و خش فقط تعویض با s6 64 گیگ یا 128 گلد 
",0,Saturday 12AM,2099294
694,Apple::اپل,Tehran,گوشی اپل. فور سفید سالم,فروش به صورت توافقی,0,Friday 05AM,598903
695,Sony::سونی,Kermanshah,گوشی موبایل سونی زد ۳ پلاس(زد۴),۴ ماهه خریدم گوشیو میخام بفروشم فنیش سالمه کارتون داره شارژ داره هندسفیری از جلد باز نشده ظاهرش سالم فقط تلقش خط داره اونم ب خریدار واقعی پوله تلقو میدم قیمت اصلیش تو بازار ۱میلیون و ۵۰ هزاره من ۶۵۰ هزار تومن گذاشتم فورجی دوسیم کارته.. ممنون از مدیر خوب برنامه دیوار,2,Friday 08AM,636354
697,Samsung::سامسونگ,Tehran,s4 mini,s4 mini دو سیم سالم,1,Friday 03PM,272323
698,Samsung::سامسونگ,Mashhad,سامسونگ جی 7 فورجی گلد,گوشی سالم بدون خط وخش سه ماهه خریدمش برای تنوع میخام عوضش کنم گوشی باید دیده بشه واقعا سالمه,2,Saturday 07AM,587866
706,Samsung::سامسونگ,Shiraz,samsung.s4,باسلام‌ گوشی اصلی اصلی هست با کارتن فقط یکم تعمیر لازم داره,0,Sunday 01PM,322822
714,Huawei::هوآوی,Tehran,HUAWEI .honor 3c lite,2ماه کارکرد کاملا سالم,2,Tuesday 10AM,309621
725,Apple::اپل,Tehran,اپل 5s32 گلد,در حد اکبند بدون نقطه به همراه گلس پشت ورو وقاب,1,Friday 06AM,1519672
731,Samsung::سامسونگ,Qom,A7 2016در حد,گوشی نونو هستش با حق تست,2,Saturday 04PM,897504
746,Huawei::هوآوی,Ahvaz,گوشی موبایلHUAWEIASCendG7,باسلام گوشی هواوی جی7 بسیارتمیزدرحدآک مشخصات گوشی  16 گیگ حافظه داخلی فورجی صفحه اچ دی دوربین 13به5  چهارهسته ای بسیارشیک اندروید4.4.4 باتشکرازبرنامه دیوار,2,Wednesday 02PM,244241
762,Apple::اپل,Shiraz,فروش  اپل ٥sگلد,گوشیه سالم بدون هیچ مشکل ١٦گیگ هست ٢٤ساعت تست میدم قیمت ٧٥٠,1,Monday 07AM,800797
781,LG::ال‌جی,Mashhad,ال جی وی 10 در حد رنگ سفید,"سلام،  گوشی کاملا سالم و تمیز، فقط درب پشتش یکم ساییدگی داره،  4جی پلاس 32 گیگ داخلی، دوربینش 16 و سلفی دو تا 5 داره، کارت حافظه هم میخوره و باتری قایل تعویض،
قیمت آکش 1700 هست و من 1350 میدم قیمت آخر، معاوضه با گوشی های پایین تر یا همرده و اختلاف قیمت آک به آک سر میگیرم اگه پایینتر باشه.
پیامک فقط بزنید، متشکر.",0,Friday 05PM,764129
789,Sony::سونی,Isfahan,گوشیه سونی مدله ال  تمیز,گوشیه تمیزیه میخوام عوضش کنم میفروشمش,2,Monday 12PM,367273
813,Huawei::هوآوی,Shiraz,گوشی موبایل هواوی G750,"یک عدد گوشی هواوی G750 بفروش میرسد
آی سی شارژ آن خراب شده
درستش نکردم همینطوری میخام بفروشمش
مابقی سالمه سالم
تاچ و ال سی دی سالم
بدون کوچکترین خط و خش تمیز تمیز
شارژر و هنزفری هم پلم تو کارتونشه استفاده نشده
ضدخش گلس و بک کاور آی فیس هم روشه
خریدار واقعی تماس بگیرد$NUM",2,Monday 04AM,334136
817,Apple::اپل,Tehran,ایفون٦,ایفون٦ سالم,2,Monday 08PM,1379046
820,Apple::اپل,Mashhad,ایفون se gold 16gig,"بسیار تمیز مطابق عکس بدون نقطه و خال حتی کوچیک، لوازم و کارتون تکمیل.
 معاوضه هم ندارم",5,Tuesday 09AM,1376105
831,Huawei::هوآوی,Mashhad,گوشی موبایل G700,"ال سی دی شکسته (خاموشه) 
(هنوز پیچ های گوشی باز نشده)
لوازم جانبی هم ندارد",3,Saturday 09AM,129798
833,Nokia::نوکیا,Kermanshah,نوکیا N95,ال سی دیش شکسته به تعمیر احتیاج داره کارتن داره خودم چون وقت نمیکنم درستش کنم میفروشم,3,Saturday 10PM,40107
856,Apple::اپل,Tehran,گوشى آیفون ٦ اس پلاس١٢٨ رنگ گرى,"فروش خیلى فورى
قیمت دو میلیون و سیصد هزار تومان",0,Monday 03PM,1171859
865,Samsung::سامسونگ,Kermanshah,نوت 3 معاوضع با,"نوت 3 تمیز بدون خط و خش 
سری اول N9005
با اندروید 5
حافظه 32گیگ
معاوضه با اس5 تعمیر نشده مثله گوشی خودم باشه 
فقطم بخاطر حسگر اثر انگشت معاوضه میکنم 
یاحق.",0,Thursday 02PM,1002617
871,Samsung::سامسونگ,Tehran,معاوضه لپتاب,"لبتاب مدل dell e5420
cori 5
ram 4
grafic 1.6 up to 2
hard 320
لبتاب واقعا قویه کارای سنگین فوتوشاپ و اتوکد 3D و بازیهای  left4 dead وpes2015 روش نصبه و راحت جواب میده
معاوضه با گوشی های پرچمدار آیفون و سامسونگ و الجی و...",2,Saturday 06PM,557265
877,Huawei::هوآوی,Qom,گوشی هواوی تمیز بدون خط خش  قیمت مناسب,این گوشی زیاد کار نکرده تمیزه وسایلاش تکمیل هنسفری لین گوشی اکبنده کار نکرده فقط به این خاطر میخام بفروشم چون گوشی دارم فقط زنگ بزنید فقط تماس بگیرین فقط,0,Wednesday 10AM,683754
894,Huawei::هوآوی,Tabriz,هواوی هونور3cبا اکانت لول77,"گوشی عین ساعت کار میکنه 
بدون خط وخش
همراه با آیفیس و گلس
همراه با اکانت کلش لول77
معاوضه با گوشی های
آیفون4
سامسونگ جی5
سامسونگ اس3
عکس خواستید در تلگرام هستم",0,Sunday 05PM,345969
896,ZTE::زدتی‌ای,Mashhad,دیمو فقد جای سیم کارتش معیوبه,گوشی دیمو کارتن دار جا سیم کارت خراب بقیش سالم,1,Monday 09AM,12371
907,Huawei::هوآوی,Isfahan,huawei p6 در حد نو,در حد نو همه چیز سالم با glass و کیف,0,Sunday 07PM,570620
924,Samsung::سامسونگ,Shiraz,تبلت و نوت4,فروش یک عدد گوشی سامسونگ نوت 4 و یک عدد تبلت اس ام تی 531 سامسونگ,2,Wednesday 05AM,808122
929,Apple::اپل,Karaj,گوشی موبایل6s,آکبند ٦٤گیگ گلد سفارش آمریکا هواتونودرام,0,Friday 05PM,1562884
934,ZTE::زدتی‌ای,Mashhad,گوشی موبایل دیمو,دوماه بیشتر کار نکرده کاملا سالم به دلیل خرید یک گوشی دیگر قصد فروش دارم و گارانتی هم داره,2,Sunday 09AM,616301
942,Apple::اپل,Shiraz,آیفون ٦اس ٦٤گیگ,"در حد نو به شرط اصلی بودن
لطفا تماس بگیرید پیامک جواب داده نمیشود",0,Wednesday 08AM,1612713
961,HTC::اچ‌تی‌سی,Tehran,htc desire 816,HTC desire 816 در حد توافقی,2,Friday 07PM,358138
968,Apple::اپل,Tehran,اییفون۱۶گیگ مدل  6s,کاملا سالم بدون کوچکترین خش و خط  فوری فروشی,2,Monday 02PM,1556826
981,Samsung::سامسونگ,Isfahan,گوشی گلکسی گرند$NUM,تمیز  معاوضه هم میشود,3,Friday 07AM,390816
987,Samsung::سامسونگ,Isfahan,فروش و تعویض گلکسی جی5,"گوشی در حد اک
مشکی رنگ
با گارانتی
بدون هیچ گونه خط و خش و ضربه در حد اک
تعویضم میشه با همرده
جهت اطلاع گوشی جی5 نوش گرون شده",2,Saturday 08PM,907634
1000,Huawei::هوآوی,Karaj,معاوضه هواویp8 lite,"سلام گوشی سالم و تمیزه.کارتن و وسایل فابریکش هم همراهشه.رنگ سفید
معاوضه با ایفون ۵ یا ۵اس سالم باشه اگه خیلی تمیز باشه مقداری هم سر میدم 
با تشکر",0,Tuesday 07PM,205210
1014,Samsung::سامسونگ,Shiraz,Samsung Galaxy note5,گوشی موبایل گلکسی نوت 5قصد تعویض با گلگسی s6edge+رودارم گوشی هم دوماه کار کرده است بدون هیچ خط وخشی,0,Saturday 03PM,1497751
1025,ZTE::زدتی‌ای,Tabriz,meizu  m2 note,فروش و تعویض گوشی .رم2.رام16.دوربین13.در حد آک.,0,Tuesday 05PM,580110
1034,Apple::اپل,Isfahan,Iphone 5s,موبایل ترو تمیز در حد نو،١٦گیگ،دیگه اپل تعریف کردن نداره.,4,Friday 03PM,818295
1048,Sony::سونی,Karaj,سونی Z3 COMPACT,"قصد تعویض  و یا فروش دارم
گوشی سفید رنگ با همه لوازم 
کاملا تمیز میباشد",0,Tuesday 09AM,774267
1050,Nokia::نوکیا,Tehran,گوشی موبایل n97 نوکیا,این گوشی فوق العاده شیکه و خاصه از عکسا مشخصه؛دارای حافظه 64 گیگه که خیلی کم یابه؛دوربین 8ونیم مگاپیکسل؛دوربین جلو 2 مگا پیکسل؛در حد نو؛حتی روشم ضد خش نصب کردم؛تمام امکانات لازمم که یه گوشی داره و داره؛اندورئید اینا نداره؛سیم ژارژو هندزفریم داره.(هر کسی خریداره قیمتشو بگه به بالاترین تماس میگیرم و میدم),5,Tuesday 03PM,453896
1093,Sony::سونی,Mashhad,"چناران سونی,Z.دوربین ۱۳مگاپیکسل.درحدخشک","چناران..گوشی سونی zc6603..دوربین ۱۳ دوربین جلو ۸..حافظه داخلی ۱۶..گلس دیروز انداختم.درحد خشک. 
ممنون از دیوار",3,Friday 01PM,548920
1115,Samsung::سامسونگ,Isfahan,فروش گوشی S3نئو رنگ مشکی,سالم ... تعویض یاومعاوضه باS4mini.g700.گرند پرایم.اچ تی سی 816,0,Sunday 12AM,355298
1120,Apple::اپل,Tehran,گوشی ایفون 7 پلاس 256 گ جت بلک,اکبند 256 جت بلک,0,Monday 11AM,1274082
1127,Apple::اپل,Isfahan,گوشى آیفون٦ خاکسترى١٦ گیگ,بی نقص، تمیز.فروش فورى,0,Friday 09AM,1283729
1149,HTC::اچ‌تی‌سی,Tehran,htc amez 4g,"تمیز و کم کارکرد...خیلی کم استفاده شده.
لوازم تکمیل.و فابریک.
فقط انتنش قطع و وصل میشد قبلا ک الان کلا قطه.بقیشه جیزاش سالم.
من تعمیر کاره اشنا ندارم واسه درست کردنش.
کسی مایل به خرید بود در خدمتم.",0,Monday 06PM,471310
1152,Apple::اپل,Shiraz,ایفون٥اس اوراقی,"سلام
گوشیم قفل آیکلود شد بخاطر هزینه ی بالای قفل گشایی نتونستم بدم درستش کنن
اوراقش کردم
قطعاتش همه اصلی هس
شاسی اصلی و فابریک بدون ذره ای خط و خش و ضربه
تاچ و ال سی دی
دوربین 
فلت ها تمام سالم و اصل
و...
رنگ گلد
با تشکر",2,Wednesday 12PM,384104
1172,Samsung::سامسونگ,Tabriz,samsung galaxy j7 gold,تمیز سری اول معاوضه فقط با j5 prime,3,Sunday 07AM,552694
1205,Apple::اپل,Shiraz,ایفون ۵,سلام گوشی  تمیز خوشکل بانوت ۵هم معامله میکنم البته تمیز باشه ممنون,0,Monday 02PM,763466
1208,Samsung::سامسونگ,Ahvaz,سامسونگ گالکسی نت ۴.تخفیف دارد,تخفیف دارد .,2,Tuesday 01PM,765705
1214,Huawei::هوآوی,Kermanshah,هواوی G630 بدون خط و خش,گوشی رو برای خرید مدل بالا تر میفروشم    گوشی سری اول و تراشه تن اسنپ دراگون۴۰۰ است,0,Thursday 12PM,324379
1226,Apple::اپل,Tehran,6sگلد 16,در حد اکبند,0,Friday 06PM,1247502
